relationships,age_last_milestone_year,milestones,Top500,age,relation10,age_first_milestone_year,Has_roundABCD,funding_rounds,has_roundB,milesto_4,million
1,0.0,0,1,10.0,0,0.0,1,3,1,0,0.0
15,6.0027,2,1,8.0,1,2.7479,1,4,1,1,0.0
5,5.0027,1,1,11.0,0,5.0027,1,3,1,1,0.0
3,2.1315,3,1,4.0,0,0.0,0,1,0,1,0.0
4,5.4384,4,1,8.0,0,1.0,0,2,0,0,0.0
2,7.0055,1,0,10.58,0,7.0055,0,1,0,1,0.0
15,2.526,2,1,2.56,1,1.3288,0,1,0,1,0.0
5,4.0,3,1,4.42,0,2.1151,0,2,0,1,0.0
4,5.3233,3,1,8.0,0,2.4986,0,2,0,1,0.0
2,0.0,0,1,24.33,0,0.0,0,1,1,0,0.0
4,3.7781,4,0,4.0,0,1.1479,0,1,0,0,1.0
5,8.3178,4,1,9.37,0,1.9507,0,1,0,0,1.0
2,3.7425,1,0,7.0,0,3.7425,0,3,0,1,0.0
10,5.2575,4,1,6.5,0,2.8986,1,3,1,0,0.0
3,2.0,1,1,6.75,0,2.0,0,3,1,1,0.0
2,0.0,1,1,9.59,0,0.0,0,1,0,1,0.0
7,5.5863,1,1,11.0,0,5.5863,0,1,0,1,0.0
10,3.0027,3,1,4.0,0,1.2849,0,3,0,1,0.0
11,2.0027,3,1,6.0,1,1.9562,0,1,1,1,0.0
63,8.8384,6,1,8.91,1,2.4,1,2,1,0,1.0
5,2.6247,3,1,2.91,0,0.6629999999999999,0,2,0,1,0.0
5,3.9699,2,1,6.0,0,2.9534,1,2,1,1,0.0
9,1.663,2,1,4.21,0,1.1178,0,1,0,1,0.0
5,3.0247,3,1,4.74,0,1.6603,0,1,0,1,0.0
4,6.4192,1,1,11.0,0,6.4192,1,3,1,1,0.0
2,0.0,0,1,5.5,0,0.0,0,3,1,0,0.0
15,11.0986,5,1,12.0,1,5.811,0,4,1,0,0.0
9,5.4767,2,1,7.42,0,3.5836,1,2,1,1,0.0
15,6.6356,1,1,8.13,1,6.6356,1,2,1,1,0.0
6,4.926,2,1,5.0,0,4.0959,0,1,0,1,0.0
0,0.0,0,1,7.0,0,0.0,0,1,0,0,0.0
3,4.5699,1,0,7.0,0,4.5699,0,2,0,1,0.0
5,10.5918,1,1,13.58,0,10.5918,0,3,0,1,0.0
0,1.3753,2,1,4.16,0,1.3589,0,5,0,1,0.0
4,4.6082,2,1,4.46,0,3.0027,0,1,1,1,0.0
3,0.0,0,1,13.62,0,0.0,0,1,0,0,0.0
15,5.2685,3,1,5.83,1,3.2904,1,4,1,1,0.0
16,5.0055,1,1,10.0,1,5.0055,0,2,0,1,0.0
10,3.7562,3,1,8.67,0,2.2384,1,3,1,1,0.0
4,4.0027,1,0,14.0,0,4.0027,0,1,0,1,0.0
10,8.1781,2,1,8.88,0,5.6959,1,4,1,1,0.0
37,4.6301,3,1,5.91,1,2.3123,0,2,0,1,0.0
1,0.1644,1,1,2.0,0,0.1644,0,1,0,1,0.0
0,3.7753,2,1,6.0,0,3.3781,1,2,1,1,0.0
16,7.4493,3,1,7.75,1,2.7945,1,5,1,1,0.0
4,1.0,1,1,13.0,0,1.0,0,5,1,1,0.0
6,11.9699,2,1,13.0,0,0.0849,0,1,0,1,0.0
10,2.4384,2,1,5.0,0,2.3288,0,1,0,1,0.0
2,0.0,1,0,1.0,0,0.0,0,2,0,1,0.0
5,3.4164,4,1,3.31,0,0.7479,0,1,0,0,0.0
10,1.8329,1,1,9.0,0,1.8329,0,3,1,1,0.0
0,0.0,0,1,9.0,0,0.0,0,1,1,0,0.0
4,8.9534,2,1,12.0,0,8.8384,0,3,1,1,0.0
5,0.863,2,0,2.17,0,0.274,0,1,0,1,0.0
1,0.0,0,1,6.13,0,0.0,1,2,1,0,0.0
9,11.3836,2,1,13.11,0,7.0055,0,3,0,1,0.0
2,2.6849,3,1,4.0,0,0.7479,0,1,0,1,0.0
9,3.8137,2,1,6.0,0,2.0027,0,2,0,1,0.0
19,7.3562,2,1,7.42,1,6.4247,1,5,1,1,0.0
4,4.3918,2,0,7.58,0,2.2795,0,2,0,1,0.0
5,3.8356,2,1,9.0,0,2.0575,1,3,1,1,0.0
4,2.0027,1,1,7.58,0,2.0027,0,1,0,1,0.0
11,6.6822,2,1,9.0,1,6.5836,0,2,0,1,0.0
2,0.0,0,1,8.99,0,0.0,0,1,0,0,0.0
5,4.3945,2,1,5.08,0,3.1534,1,7,1,1,1.0
1,0.1616,1,1,9.0,0,0.1616,1,2,1,1,0.0
7,5.1616,2,1,8.0,0,0.0,0,3,1,1,1.0
10,5.3342,2,0,7.0,0,4.3644,0,2,0,1,0.0
7,8.2219,2,1,10.0,0,7.6712,1,3,1,1,0.0
6,0.0,0,1,2.91,0,0.0,0,2,0,0,0.0
4,6.7233,2,1,7.0,0,6.6027,0,1,0,1,0.0
4,7.3205,3,1,9.0,0,4.0027,1,2,1,1,0.0
14,3.2164,3,1,6.08,1,2.463,1,3,1,1,0.0
4,0.0,0,0,1.54,0,0.0,0,1,0,0,0.0
5,3.2219,4,0,4.62,0,0.3342,0,1,0,0,0.0
3,4.0027,1,1,14.0,0,4.0027,0,2,0,1,0.0
12,3.4438,3,1,5.0,1,2.1616,1,2,1,1,0.0
4,4.5753,3,1,6.09,0,3.5945,0,2,1,1,0.0
7,0.0,0,1,13.99,0,0.0,1,3,1,0,0.0
9,5.8329,2,1,6.0,0,3.0027,0,1,0,1,0.0
1,0.0,0,0,6.94,0,0.0,1,2,1,0,0.0
3,2.9425,3,1,1.24,0,0.0,0,1,0,1,0.0
9,2.6767,2,1,4.0,0,2.0,1,2,1,1,0.0
11,2.8822,3,0,4.12,1,1.3096,0,1,0,1,0.0
27,6.7918,3,1,7.17,1,3.3151,1,5,1,1,0.0
14,6.1151,4,1,8.58,1,2.9178,0,3,0,0,0.0
4,5.0027,1,1,12.0,0,5.0027,0,1,0,1,0.0
3,0.0,0,1,10.75,0,0.0,0,3,0,0,0.0
1,0.0,1,0,2.75,0,0.0,0,1,0,1,0.0
5,2.2493,1,1,10.0,0,2.2493,1,2,1,1,0.0
4,5.0027,1,1,13.0,0,5.0027,0,3,0,1,0.0
17,8.9342,3,1,10.0,1,6.9589,1,4,1,1,0.0
0,0.0,0,0,9.51,0,0.0,0,1,0,0,0.0
4,5.8384,1,1,13.01,0,5.8384,0,1,0,1,0.0
13,5.0959,2,1,5.84,1,4.7178,0,3,0,1,0.0
7,4.6685,2,1,7.0,0,3.6356,0,2,0,1,0.0
5,3.1342,2,1,5.08,0,1.6740000000000002,0,3,0,1,0.0
13,6.4219,2,1,10.0,1,6.0055,0,2,1,1,0.0
12,8.3233,5,1,9.16,1,4.0493,0,1,0,0,0.0
